                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4289,                 4.8254,                 4.2524,                 0.0002,                0.06686,                0.00014,                  2e-05,                 5.2276,                 7.0048,                 4.1229,              0.0032941,              0.0032941,              0.0032941
                      2,                  3.474,                 3.6202,                 3.3793,                0.00219,                0.05233,                0.00135,                 0.0003,                 3.6895,                 15.832,                 5.5564,              0.0066143,              0.0066143,              0.0066143
                      3,                 2.8061,                 2.7774,                 2.9562,                0.01263,                0.37791,                0.01979,                0.00616,                 2.3613,                    inf,                 4.9474,              0.0099213,              0.0099213,              0.0099213
                      4,                 2.4467,                 2.3434,                 2.7113,                0.18737,                0.40116,                0.19283,                0.04972,                 2.3903,                 5.6844,                 2.6035,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2845,                 2.0932,                 2.5134,                  0.575,                0.65698,                0.62119,                0.22595,                 2.0876,                 2.0163,                 2.8242,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.1246,                  1.857,                 2.3299,                 0.5417,                0.59593,                0.62336,                0.24561,                 1.9836,                  1.743,                 2.1473,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.9944,                 1.6748,                 2.2073,                0.74107,                0.74047,                0.77608,                0.31686,                  1.823,                 1.4832,                 2.0037,               0.009901,               0.009901,               0.009901
                      8,                 1.8796,                 1.5297,                 2.0682,                 0.9233,                0.87482,                0.91468,                0.48082,                 1.6119,                 1.2948,                 1.8569,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8005,                  1.476,                 1.9652,                0.81553,                0.77616,                0.83754,                0.38521,                 1.7016,                 1.7181,                 1.8692,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7154,                 1.3964,                 1.8959,                 0.9039,                0.90235,                0.93878,                0.48043,                 1.5143,                 1.3132,                 1.6952,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.6726,                 1.3906,                 1.8608,                0.80655,                0.84841,                0.88446,                0.43193,                 1.5857,                 1.2205,                 1.9609,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.6625,                 1.3404,                 1.7842,                0.88058,                0.85745,                0.87651,                0.40933,                  1.659,                 1.5338,                 1.8297,               0.009802,               0.009802,               0.009802
                     13,                 1.6308,                 1.2995,                 1.7651,                0.92497,                0.90407,                0.94011,                0.55328,                 1.3259,                 1.0561,                 1.5585,              0.0097822,              0.0097822,              0.0097822
                     14,                   1.58,                 1.2813,                 1.7599,                 0.9044,                0.88372,                0.93803,                0.53989,                 1.3683,                 1.0352,                 1.5437,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.5879,                 1.2542,                 1.7383,                0.94244,                0.90116,                0.95187,                0.53282,                 1.4717,                 1.0246,                 1.6291,              0.0097426,              0.0097426,              0.0097426
                     16,                   1.55,                 1.2428,                 1.7034,                 0.9503,                0.90116,                0.96356,                 0.5725,                 1.3095,                 0.9328,                 1.4882,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.5515,                 1.2085,                 1.6892,                0.90931,                0.93267,                0.95539,                 0.5141,                  1.502,                 1.0116,                 1.6807,               0.009703,               0.009703,               0.009703
                     18,                 1.5146,                 1.2024,                 1.6442,                0.89733,                0.82267,                0.90603,                0.46245,                 1.4688,                 1.1486,                 1.6335,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.4943,                 1.1975,                 1.6544,                0.92759,                0.93092,                0.95482,                 0.5266,                  1.401,                  1.084,                 1.5828,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.4843,                 1.1557,                  1.653,                0.94344,                0.94767,                0.97062,                0.56444,                 1.3337,                0.81754,                 1.5603,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.4769,                 1.1412,                 1.6377,                0.90635,                0.92844,                0.94701,                0.53179,                 1.3372,                  1.038,                 1.5091,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.4748,                 1.1555,                 1.6338,                0.93668,                0.90302,                 0.9453,                0.53209,                 1.4419,                0.86041,                 1.5715,               0.009604,               0.009604,               0.009604
                     23,                 1.4679,                 1.1375,                 1.6203,                0.94325,                0.94767,                0.95924,                 0.5454,                 1.3951,                0.85637,                 1.5762,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.4524,                 1.0956,                 1.6097,                0.95089,                0.92733,                 0.9594,                0.50921,                 1.4411,                0.87184,                 1.6015,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.4251,                 1.1128,                 1.6116,                0.91473,                0.88372,                0.91522,                0.49059,                 1.4224,                 1.0496,                 1.5951,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.4274,                 1.0844,                 1.5761,                0.93114,                0.94186,                0.95921,                0.56281,                 1.2959,                0.97348,                 1.4782,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.4209,                 1.1185,                 1.5877,                0.93361,                0.94027,                0.95831,                0.55352,                 1.2732,                0.87224,                 1.4619,               0.009505,               0.009505,               0.009505
                     28,                 1.4338,                 1.0578,                 1.5677,                0.95454,                0.94186,                0.96634,                0.55813,                 1.4045,                0.84844,                 1.5418,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.4386,                 1.0746,                 1.5905,                0.96216,                0.94477,                0.96846,                0.59266,                 1.2909,                0.82805,                 1.4593,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.4024,                  1.046,                 1.5403,                0.93087,                0.93605,                0.93809,                0.55478,                 1.3684,                0.91373,                 1.5461,              0.0094456,              0.0094456,              0.0094456
                     31,                  1.406,                 1.0358,                  1.556,                0.96421,                0.95058,                0.97191,                 0.5819,                 1.2996,                0.76251,                 1.4527,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.3897,                 1.0201,                 1.5375,                0.94899,                0.94767,                0.96695,                0.59775,                 1.3056,                0.79254,                 1.4479,               0.009406,               0.009406,               0.009406
                     33,                 1.3768,                 1.0166,                 1.5329,                0.94753,                  0.945,                0.96583,                0.58355,                 1.3389,                0.75475,                 1.4638,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.4082,                 1.0266,                 1.5576,                0.93034,                0.89298,                0.95076,                0.56261,                 1.3499,                0.86056,                 1.4831,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.3747,                  1.043,                 1.5195,                0.94463,                0.94231,                0.96507,                0.60002,                 1.3093,                0.84617,                 1.4785,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.3542,                 1.0192,                 1.5129,                0.94544,                0.95706,                0.97317,                0.60869,                 1.2316,                0.77265,                 1.3993,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.3622,                  1.014,                 1.5297,                0.94611,                0.94477,                0.96887,                0.60632,                 1.2497,                0.80709,                   1.42,               0.009307,               0.009307,               0.009307
                     38,                 1.3654,                0.99914,                  1.539,                0.96135,                0.94002,                0.96685,                0.57173,                 1.3026,                 0.8202,                 1.4737,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3665,                0.98167,                 1.5127,                0.96201,                0.95695,                0.97049,                0.58206,                 1.2291,                0.77803,                 1.4138,              0.0092674,              0.0092674,              0.0092674
                     40,                  1.358,                0.99181,                 1.5193,                0.96188,                0.95348,                0.97122,                0.58032,                 1.3523,                0.74203,                 1.5039,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3273,                0.96989,                 1.4873,                0.92171,                0.96221,                0.95888,                0.59523,                 1.2307,                0.79697,                 1.3987,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3333,                0.98273,                 1.4814,                0.95131,                0.96563,                 0.9703,                0.61402,                 1.2379,                0.74129,                 1.4049,               0.009208,               0.009208,               0.009208
